

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.006  000.006: --- NVIM STARTING ---
000.657  000.651: locale set
004.534  003.877: inits 1
004.555  000.021: window checked
004.560  000.005: parsing arguments
004.844  000.285: expanding arguments
004.908  000.064: inits 2
005.308  000.400: init highlight
005.310  000.001: waiting for UI
007.586  002.276: done waiting for UI
007.605  000.019: init screen for UI
032.571  024.420  024.420: sourcing /Users/jaylinwang/.config/nvim/init.lua
032.610  000.585: sourcing vimrc file(s)
039.903  000.035  000.035: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/elixir.vim
040.056  000.027  000.027: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fennel.vim
040.220  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fish.vim
040.367  000.023  000.023: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
040.525  000.024  000.024: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
040.667  000.020  000.020: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glimmer.vim
040.809  000.021  000.021: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gomod.vim
040.965  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
041.117  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
041.277  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/heex.vim
041.423  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hjson.vim
041.568  000.027  000.027: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/json5.vim
041.709  000.023  000.023: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/julia.vim
041.861  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
042.005  000.026  000.026: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
042.153  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
042.312  000.035  000.035: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
042.464  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
042.613  000.030  000.030: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
042.761  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/tlaplus.vim
042.945  000.043  000.043: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
043.123  000.035  000.035: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
043.281  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/css.vim
043.447  000.034  000.034: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/graphql.vim
043.596  000.028  000.028: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/html.vim
043.748  000.032  000.032: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/javascript.vim
043.897  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/json.vim
044.051  000.029  000.029: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/less.vim
044.273  000.034  000.034: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/lua.vim
044.450  000.047  000.047: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/markdown.vim
044.701  000.045  000.045: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/php.vim
044.870  000.034  000.034: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/ruby.vim
045.029  000.033  000.033: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/scss.vim
045.196  000.037  000.037: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/svelte.vim
045.361  000.042  000.042: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/typescript.vim
045.521  000.034  000.034: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/vue.vim
045.680  000.034  000.034: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/xml.vim
045.846  000.039  000.039: sourcing /Users/jaylinwang/.local/share/nvim/site/pack/packer/start/vim-prettier/ftdetect/yaml.vim
047.380  014.580  013.383: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/filetype.vim
048.294  000.059  000.059: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/ftplugin.vim
049.216  000.068  000.068: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/indent.vim
050.696  000.259  000.259: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/syntax/syncolor.vim
051.533  001.300  001.041: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/syntax/synload.vim
051.641  001.613  000.313: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/syntax/syntax.vim
063.086  000.229  000.229: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/gzip.vim
063.261  000.026  000.026: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/health.vim
063.441  000.059  000.059: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/man.vim
067.067  000.184  000.184: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
067.368  003.806  003.622: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/matchit.vim
067.649  000.149  000.149: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/matchparen.vim
068.097  000.318  000.318: sourcing /usr/local/Cellar/neovim/0.5.1/share/nvim/runtime/plugin/netrwPlugin.vim
068.593  000.038  000.038: sourcing /Users/jaylinwang/.local/share/nvim/rplugin.vim
